E_low	E_high	Flux	rel_err
MeV	MeV	n/(cm\+(2)s)	
2,2603E-5	2,9023E-5	24503640	0,7123
2,9023E-5	3,7267E-5	52474320	0,5222
3,7267E-5	4,7851E-5	87059160	0,4199
4,7851E-5	6,1442E-5	86155200	0,551
6,1442E-5	7,8893E-5	152609280	0,3847
7,8893E-5	1,013E-4	178818540	0,3537
1,013E-4	1,3007E-4	204414000	0,2885
1,3007E-4	1,6702E-4	599533800	0,2159
1,6702E-4	2,1445E-4	993500400	0,1676
2,1445E-4	2,7536E-4	1723903800	0,1369
2,7536E-4	3,5358E-4	2394192000	0,1387
3,5358E-4	4,54E-4	4735746000	0,0832
4,54E-4	5,8295E-4	6644850000	0,0955
5,8295E-4	7,4852E-4	11116662000	0,0657
7,4852E-4	9,6112E-4	16609986000	0,0588
9,6112E-4	0,0012341	23495520000	0,0492
0,0012341	0,0015846	36606660000	0,0377
0,0015846	0,0020347	52011180000	0,0326
0,0020347	0,0022487	27993000000	0,044
0,0022487	0,0024852	30879720000	0,0384
0,0024852	0,0026126	17805222000	0,0681
0,0026126	0,0027465	17158500000	0,0659
0,0027465	0,0030354	34082640000	0,0323
0,0030354	0,0033546	37374840000	0,0588
0,0033546	0,0037074	29998080000	0,0356
0,0037074	0,0043074	34575540000	0,0377
0,0043074	0,0055308	60853620000	0,034
0,0055308	0,0071017	94095540000	0,0272
0,0071017	0,0091188	118653120000	0,022
0,0091188	0,010595	121623540000	0,0188
0,010595	0,011709	53984640000	0,0412
0,011709	0,015034	52295760000	0,0354
0,015034	0,019305	53789340000	0,0314
0,019305	0,021875	60223080000	0,0266
0,021875	0,023579	46760400000	0,039
0,023579	0,024176	17417784000	0,0525
0,024176	0,024788	20530680000	0,0464
0,024788	0,026058	41613780000	0,0319
0,026058	0,027	23436000000	0,0609
0,027	0,0285	16853646000	0,0658
0,0285	0,031828	47848500000	0,0408
0,031828	0,034307	50186520000	0,0534
0,034307	0,040868	127454640000	0,0205
0,040868	0,046309	101935440000	0,0226
0,046309	0,052475	82747680000	0,0235
0,052475	0,056562	82357080000	0,0244
0,056562	0,067379	196248600000	0,0208
0,067379	0,072	47331420000	0,0373
0,072	0,0795	74150760000	0,0285
0,0795	0,0825	32317500000	0,0323
0,0825	0,086517	24284160000	0,0711
0,086517	0,098037	60265860000	0,0501
0,098037	0,11109	54883020000	0,0305
0,11109	0,11679	31220100000	0,0343
0,11679	0,12277	43951800000	0,0344
0,12277	0,12907	46738080000	0,0317
0,12907	0,13569	72627420000	0,0348
0,13569	0,14264	32637420000	0,0355
0,14264	0,14996	24518520000	0,0469
0,14996	0,15764	46764120000	0,0333
0,15764	0,16573	23050980000	0,0523
0,16573	0,17422	30033420000	0,0358
0,17422	0,18316	39352020000	0,032
0,18316	0,19255	31141980000	0,038
0,19255	0,20242	26960700000	0,0336
0,20242	0,2128	24574320000	0,0468
0,2128	0,22371	22223280000	0,0424
0,22371	0,23518	32762040000	0,0347
0,23518	0,24724	24263700000	0,0737
0,24724	0,27324	64480620000	0,0254
0,27324	0,28725	27496380000	0,0558
0,28725	0,29452	15458274000	0,0499
0,29452	0,2972	5532756000	0,0683
0,2972	0,2985	3494940000	0,121
0,2985	0,30197	8383020000	0,0716
0,30197	0,33373	81482880000	0,0288
0,33373	0,36883	83428440000	0,0326
0,36883	0,38774	47439300000	0,0343
0,38774	0,40762	52853760000	0,0362
0,40762	0,45049	104995140000	0,0564
